Phrase,Frequency
سبقت من ربك لقضي بينهم,3
ولولا كلمة سبقت من ربك لقضي,3
وما في الأرض وهو,3
السماوات وما في الأرض وهو,3
أنزل عليه آية,3
لولا أنزل عليه آية,3
أنزل عليه آية من,3
لولا أنزل عليه آية من,3
الناس إلا,3
ولولا كلمة سبقت من ربك لقضي بينهم,3
في السماوات وما في الأرض وهو,3
ما في السماوات وما في الأرض وهو,3
كلمة سبقت من ربك لقضي بينهم,3
من ربك لقضي بينهم,3
إيمانكم إن,3
الناس على,3
العذاب أن,3
وإذا تتلى عليهم آياتنا بينات قال الذين,3
إنه على,3
بصير بما يعملون,3
والله بصير بما يعملون,3
وإذا تتلى عليهم آياتنا بينات قال,3
على قلبك,3
تتلى عليهم آياتنا بينات قال الذين,3
ما نشاء,3
أو أن,3
من ربك لقضي,3
ربك لقضي بينهم,3
سبقت من ربك لقضي,3
ربك لقضي,3
الموت إن كنتم,3
إن كانت,3
ويعبدون من دون الله ما لا,3
الموت إن كنتم صادقين,3
أنزل عليه آية من ربه,3
لما معهم,3
علمت ما,3
لقد علمت,3
ميثاق بني إسرائيل,3
ما لنا,3
بالإثم والعدوان,3
لقد علمت ما,3
يخفف عنهم العذاب,3
العذاب ولا,3
ثم أنتم,3
ميثاق بني,3
وبالوالدين إحسانا,3
وإن هم إلا,3
وإن هم,3
يعلم ما يسرون وما يعلنون,3
به ثمنا قليلا,3
النار إلا,3
آمنوا وعملوا الصالحات أولئك,3
بلى من,3
وقالوا لن,3
عنهم العذاب ولا,3
العذاب ولا هم,3
دعوا الله مخلصين,3
دعوا الله مخلصين له,3
من مصيبة,3
دعوا الله مخلصين له الدين,3
كتاب من,3
بعد ضراء,3
لولا أنزل عليه آية من ربه,3
مصدق لما,3
جاءهم ما,3
وظنوا أنهم,3
كل مكان,3
يخفف عنهم العذاب ولا هم,3
عنهم العذاب ولا هم,3
يخفف عنهم العذاب ولا,3
جاءكم رسول,3
وما هي,3
من كل مكان,3
ثم إلينا,3
الحياة الدنيا ثم,3
عليهم آياتنا بينات قال الذين,3
تتلى عليهم آياتنا بينات قال,3
إن الله بما,3
عند الله إن الله,3
عند الله إن,3
وهي ظالمة,3
الله بما تعملون بصير,3
العرش العظيم,3
ربك إن,3
قل هاتوا برهانكم,3
قل هاتوا,3
وما ظلمناهم ولكن,3
ظلمناهم ولكن,3
ليجزي الذين آمنوا وعملوا,3
ليجزي الذين آمنوا وعملوا الصالحات,3
يأتي الله,3
حتى يأتي,3
ليجزي الذين آمنوا,3
وما ظلمناهم,3
الر تلك,3
الر تلك آيات,3
الر تلك آيات الكتاب,3
الله قلوبهم,3
السماوات والأرض إلا,3
الآخرة عذاب عظيم,3
الله لا يضيع أجر المحسنين,3
مساجد الله,3
في الدنيا خزي,3
لا يضيع أجر المحسنين,3
يضيع أجر المحسنين,3
ولهم في الآخرة عذاب عظيم,3
إليه ثم,3
في الآخرة عذاب عظيم,3
الدنيا خزي,3
لهم أجر,3
هودا أو نصارى,3
أو نصارى,3
هودا أو,3
وهو محسن,3
وإذا ما,3
يحكم بينهم,3
ربه ولا,3
الله أحسن,3
هو الذي جعل,3
موسى من,3
آمنوا واتقوا,3
عليه توكلت وإليه,3
توكلت وإليه,3
وما أريد أن,3
يود الذين,3
يود الذين كفروا,3
ما أصاب,3
إلا بالله,3
رزقا حسنا,3
وما أريد,3
بينات قال,3
يكفر بها,3
عليهم آياتنا بينات قال,3
آياتنا بينات قال الذين,3
بينات قال الذين,3
ما له,3
آياتنا بينات قال,3
له في الآخرة من,3
له في الآخرة,3
ولقد أهلكنا,3
سوف تعلمون,3
وسلطان مبين,3
بآياتنا وسلطان,3
الله له ملك السماوات والأرض,3
الله له ملك السماوات,3
بآياتنا وسلطان مبين,3
ضل سواء,3
فقد ضل سواء السبيل,3
ضل سواء السبيل,3
فقد ضل سواء,3
الله له ملك,3
أن الله على كل شيء قدير,3
الله للناس,3
مس الإنسان,3
وإذا مس,3
في جنات النعيم,3
ومن هو,3
أن الله على كل شيء,3
أن الله على كل,3
أن الله على,3
يعلم ما يسرون وما,3
يعلم ما يسرون,3
نرينك بعض الذي نعدهم أو,3
بعض الذي نعدهم أو نتوفينك,3
نرينك بعض الذي نعدهم أو نتوفينك,3
لا تبصرون,3
الذي نعدهم أو نتوفينك,3
بعض الذي نعدهم أو,3
كل أناس,3
قد علم,3
نرينك بعض الذي نعدهم,3
واشربوا هنيئا,3
هنيئا بما,3
فكلوا منها,3
متكئين على,3
كل امرئ,3
مما يشتهون,3
منها حيث,3
الباب سجدا,3
كلوا واشربوا هنيئا,3
واشربوا هنيئا بما,3
كلوا واشربوا هنيئا بما,3
نعدهم أو نتوفينك,3
الذي نعدهم أو,3
مما تعملون,3
لم يلبثوا,3
يلبثوا إلا,3
والسماء ذات,3
الذي هو,3
بأنهم كانوا,3
آمنوا معه برحمة منا,3
والذين آمنوا معه برحمة,3
آمنوا معه برحمة,3
لم يلبثوا إلا,3
هذا الذي كنتم,3
أو نتوفينك,3
نرينك بعض الذي,3
بعض الذي نعدهم,3
نعدهم أو,3
الذي نعدهم,3
هذا الذي كنتم به,3
الذي فطرني,3
نرينك بعض,3
الله لكل,3
لحكم ربك,3
ويستحيون نساءكم وفي ذلكم بلاء من,3
أبناءكم ويستحيون نساءكم وفي ذلكم بلاء,3
ذلكم بلاء من ربكم عظيم,3
وفي ذلكم بلاء من ربكم,3
نساءكم وفي ذلكم بلاء من ربكم,3
وفي ذلكم بلاء من ربكم عظيم,3
نساءكم وفي ذلكم بلاء من ربكم عظيم,3
ويستحيون نساءكم وفي ذلكم بلاء من ربكم,3
أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من,3
نساءكم وفي ذلكم بلاء من,3
ويستحيون نساءكم وفي ذلكم بلاء,3
ويستحيون نساءكم وفي ذلكم,3
أبناءكم ويستحيون نساءكم وفي,3
من ربكم عظيم,3
نساءكم وفي ذلكم بلاء,3
وفي ذلكم بلاء من,3
أبناءكم ويستحيون نساءكم وفي ذلكم,3
بلاء من ربكم عظيم,3
ذلكم بلاء من ربكم,3
أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم,3
ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم,3
الذكر والأنثى,3
المن والسلوى,3
وإذ قال موسى لقومه يا قوم,3
قال موسى لقومه يا قوم,3
من رحم,3
إلا من رحم,3
رأوا العذاب,3
لما رأوا العذاب,3
من أمر الله,3
وإذ قال موسى لقومه يا,3
موسى لقومه يا قوم,3
العجل من,3
وأنتم تنظرون,3
أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم,3
إنا أرسلنا عليهم,3
عنكم من,3
قال موسى لقومه يا,3
موسى لقومه يا,3
فتاب عليكم,3
والذين آمنوا معه برحمة منا,3
بل كذبوا,3
يلاقوا يومهم,3
الذي يوعدون,3
أمر ربك,3
أعرض عن,3
حتى يلاقوا,3
قالوا ادع,3
لنا ما,3
يبين لنا,3
ربك يبين,3
حتى يلاقوا يومهم,3
يلاقوا يومهم الذي,3
هذا لشيء,3
في السبت,3
قالوا لا تخف,3
إنا أرسلنا إلى قوم,3
يأمركم أن,3
إن هذا لشيء,3
يومهم الذي يوعدون,3
ما هي,3
حتى يلاقوا يومهم الذي,3
قالوا ادع لنا,3
لنا ربك يبين,3
قالوا ادع لنا ربك يبين لنا ما,3
يرزقكم من السماء,3
ادع لنا ربك يبين لنا ما,3
قالوا ادع لنا ربك يبين لنا,3
لهم من الله من,3
من خشية,3
عند ربكم,3
كلام الله,3
أو أشد,3
يرزقكم من السماء والأرض,3
لنا ربك يبين لنا ما,3
قالوا ادع لنا ربك,3
يبين لنا ما,3
ربك يبين لنا,3
ادع لنا ربك يبين,3
لنا ربك يبين لنا,3
ادع لنا ربك يبين لنا,3
قالوا ادع لنا ربك يبين,3
ربك يبين لنا ما,3
أرسلنا إلى قوم,3
إنا أرسلنا إلى,3
فيه لعلكم,3
واتبعوا أهواءهم,3
افتراه قل,3
يقولون افتراه قل,3
خذوا ما,3
ما آتيناكم,3
خذوا ما آتيناكم,3
يغفر لكم,3
آتيناكم بقوة,3
أم يقولون افتراه قل,3
ألا بعدا,3
يكفرون بآيات,3
فضلا من الله,3
القيامة ألا,3
الله ويقتلون,3
يكفرون بآيات الله,3
يكفرون بآيات الله ويقتلون,3
الله عن,3
بآيات الله ويقتلون,3
ما آتيناكم بقوة,3
إن الله عليم بما,3
هل من شركائكم من,3
قال سلام,3
سلاما قال,3
يهدي إلى,3
من شركائكم من,3
هل من شركائكم,3
رسول كريم,3
من شركائكم,3
شركائكم من,3
كيف تحكمون,3
وإذ أخذنا ميثاقكم,3
بما يفعلون,3
الله عليم بما,3
خذوا ما آتيناكم بقوة,3
أخذنا ميثاقكم,3
لكم كيف تحكمون,3
تجزون ما,3
تجزون ما كنتم,3
تجزون ما كنتم تعملون,3
الناس ولكن أكثر الناس لا يشكرون,3
ماء فأحيا,3
ابتغاء وجه,3
عنده علم,3
يشاء وما,3
من يشاء وما,3
شهيدا بيني وبينكم,3
الله يهدي من,3
قل كفى,3
كفى بالله,3
فهو خير لكم,3
إن تبدوا,3
عصاه فإذا,3
عصاه فإذا هي,3
قل كفى بالله,3
شهيدا بيني,3
ثم كان,3
المسيح عيسى ابن مريم,3
أولم يسيروا في الأرض فينظروا كيف,3
المسيح عيسى ابن,3
المسيح عيسى,3
أولم يسيروا في الأرض,3
أولم يسيروا في الأرض فينظروا,3
أولم يسيروا في الأرض فينظروا كيف كان,3
أولم يسيروا في الأرض فينظروا كيف كان عاقبة,3
رب اغفر لي,3
إذا قضى,3
لا تظلمون,3
في المهد,3
أولم يسيروا في الأرض فينظروا كيف كان عاقبة الذين,3
وما للظالمين من أنصار,3
للظالمين من أنصار,3
من بعدها لغفور رحيم,3
إن ربك من بعدها لغفور,3
ربك من بعدها لغفور,3
إن ربك من بعدها,3
نخيل وأعناب,3
بعدها لغفور رحيم,3
ربك من بعدها لغفور رحيم,3
إن ربك من بعدها لغفور رحيم,3
ما أنفقوا,3
العزيز الحميد,3
سبيل الله ثم,3
لهم أجرهم عند,3
لهم أجرهم عند ربهم,3
من نخيل وأعناب,3
من بعدها لغفور,3
خلقكم من تراب ثم,3
من بعدها,3
خلقكم من تراب,3
وله الحمد,3
من أنصار,3
غضب من,3
أنفقوا من,3
غني حميد,3
ثم بعثنا من,3
ربك من بعدها,3
بإذن ربهم,3
إن ربك من,3
بعدها لغفور,3
أولم يسيروا في,3
أولم يسيروا,3
لمن يشاء ويعذب,3
ويعذب من,3
يشاء ويعذب من,3
ويعذب من يشاء,3
يشاء ويعذب من يشاء,3
لمن يشاء ويعذب من,3
يشاء ويعذب,3
إلا ما كانوا,3
بما تعملون عليم,3
تعملون عليم,3
ويوم يناديهم فيقول,3
إلا ما كانوا يعملون,3
عقبى الدار,3
لمن يشاء ويعذب من يشاء,3
أو تخفوه,3
قال يا موسى,3
أنزل إليه,3
الله نفسا,3
وكن من,3
لنا وارحمنا,3
موسى إني,3
أنفسكم أو,3
أليس في,3
أنباء الغيب,3
أليس في جهنم مثوى,3
في جهنم مثوى,3
أليس في جهنم,3
جهنم مثوى,3
يناديهم فيقول,3
ذلك من أنباء,3
الله ما يشاء,3
إن هذا لساحر,3
ما كسبت وهم,3
نفس ما كسبت وهم,3
رزقناهم سرا,3
ما كسبت وهم لا,3
هذا لساحر,3
وأقاموا الصلاة وآتوا الزكاة,3
في سبيل الله لا,3
سبيل الله لا,3
إلا كما,3
وأقاموا الصلاة وآتوا,3
أضل ممن,3
كل نفس ما كسبت وهم,3
نفس ما كسبت وهم لا,3
مما رزقناهم سرا وعلانية,3
رزقناهم سرا وعلانية,3
منه شيئا,3
قوم موسى,3
من أنباء الغيب,3
مما رزقناهم سرا,3
كل نفس ما كسبت وهم لا يظلمون,3
كل نفس ما كسبت وهم لا,3
ما كسبت وهم لا يظلمون,3
من أرضكم,3
نفس ما كسبت وهم لا يظلمون,3
قالوا لئن لم,3
ثم بعثنا,3
لكم بعض,3
من بين يديه ومن خلفه,3
بين يديه ومن خلفه,3
مرد له,3
عن هذا,3
نضيع أجر,3
الله إن الله لا,3
ذرية من,3
فكان من,3
الذين استضعفوا,3
تجزون إلا ما كنتم تعملون,3
فرعون وهامان,3
لا يحب الظالمين,3
يحب الظالمين,3
قال الله يا عيسى,3
الله يا عيسى,3
قال الله يا,3
يعلم ما بين أيديهم وما خلفهم ولا,3
الكافرين إلا في,3
الكافرين إلا في ضلال,3
والذين يدعون من,3
والذين يدعون,3
ما بين أيديهم وما خلفهم ولا,3
بين أيديهم وما خلفهم ولا,3
الكافرين إلا,3
إلى يوم القيامة من,3
خلفهم ولا,3
وما خلفهم ولا,3
أيديهم وما خلفهم ولا,3
إلا ما كنتم تعملون,3
فلا تكن,3
لم يغنوا,3
بين يديه ومن,3
يغنوا فيها,3
كأن لم يغنوا,3
لم يغنوا فيها,3
يديه ومن خلفه,3
وقال الملأ,3
إذا لخاسرون,3
على الذين آمنوا,3
لا يوقنون,3
ومن خلفه,3
ولو شاء الله ما,3
يا شعيب,3
من بين يديه ومن,3
كأن لم يغنوا فيها,3
وما من إله إلا,3
تجزون إلا ما,3
من إله إلا,3
وما من إله,3
تجزون إلا ما كنتم,3
إلا ما كنتم,3
الله لهو,3
وإن الله لهو,3
قرية من,3
في قرية,3
في قرية من,3
ها أنتم هؤلاء,3
تعالوا إلى,3
إلا بما,3
إلا بإذنه,3
قال الحواريون,3
قوما ما,3
لتنذر قوما ما,3
التي كانت,3
وربكم فاعبدوه هذا صراط مستقيم,3
ربي وربكم فاعبدوه هذا صراط مستقيم,3
لتنذر قوما,3
نذير من,3
الذي له ما في,3
الذي له ما في السماوات,3
الذي له ما,3
على عروشها,3
خاوية على عروشها,3
ربي وربكم فاعبدوه هذا صراط,3
فاعبدوه هذا صراط مستقيم,3
وربكم فاعبدوه,3
تبين له,3
في هذه الدنيا حسنة,3
هذه الدنيا حسنة,3
الله الأمثال,3
لكم بعض الذي,3
فاعبدوه هذا,3
ربي وربكم فاعبدوه,3
ربي وربكم فاعبدوه هذا,3
وربكم فاعبدوه هذا صراط,3
فاعبدوه هذا صراط,3
في التوراة,3
وربكم فاعبدوه هذا,3
خاوية على,3
الذي له ما في السماوات وما,3
كذلك يطبع,3
الذي يحيي,3
الذي يحيي ويميت,3
يطبع الله,3
الله بعد,3
كذلك يطبع الله,3
على قلوب,3
أن لو,3
هو يحيي,3
هو يحيي ويميت,3
السماوات والأرض لا,3
رسول الله إليكم,3
إلي مرجعكم,3
يطبع الله على,3
كذلك يطبع الله على,3
الذي له ما في السماوات وما في الأرض,3
نقص عليك من,3
أو بعض يوم,3
يوما أو بعض يوم,3
الذي له ما في السماوات وما في,3
يوما أو بعض,3
بعض يوم,3
يوما أو,3
أولئك في ضلال,3
أو بعض,3
ضلال بعيد,3
رسلهم بالبينات فما,3
عدن يدخلونها,3
الله لهم عذاب,3
أيديكم وأرجلكم,3
وأرجلكم من,3
فإنما عليك,3
رب هب,3
هو من عند,3
الرزق لمن يشاء من,3
هب لي,3
رب هب لي,3
إلا من بعد ما جاءهم العلم بغيا,3
بعد ما جاءهم العلم بغيا بينهم,3
من عباده ويقدر,3
من بعد ما جاءهم العلم بغيا بينهم,3
إلا من بعد ما جاءهم العلم بغيا بينهم,3
هو من,3
لمن يشاء من عباده,3
يبسط الرزق لمن يشاء من عباده ويقدر,3
إذ قالت,3
ربك ولا,3
فإنما عليك البلاغ,3
أن آذن لكم,3
قبل أن آذن لكم,3
الرزق لمن يشاء من عباده ويقدر,3
يبسط الرزق لمن يشاء من عباده,3
يبسط الرزق لمن يشاء من,3
يشاء من عباده ويقدر,3
عليك البلاغ,3
الرزق لمن يشاء من عباده,3
لمن يشاء من عباده ويقدر,3
لمن يشاء من,3
من بعد ما جاءهم العلم بغيا,3
في الحياة الدنيا ولعذاب,3
الحياة الدنيا ولعذاب الآخرة,3
الدنيا ولعذاب الآخرة,3
الحياة الدنيا ولعذاب,3
رب أنى يكون لي,3
الدنيا ولعذاب,3
بعد ما جاءهم العلم,3
العلم بغيا بينهم,3
العلم بغيا,3
الله فإن الله,3
بغيا بينهم,3
ما جاءهم العلم,3
جاءهم العلم بغيا,3
ما جاءهم العلم بغيا,3
جاءهم العلم بغيا بينهم,3
بعد ما جاءهم العلم بغيا,3
لي غلام,3
عباده ويقدر,3
لي من لدنك,3
إلا من بعد ما جاءهم العلم,3
ما جاءهم العلم بغيا بينهم,3
يكون لي غلام,3
من بعد ما جاءهم العلم,3
رب أنى يكون,3
يا ليت,3
رب أنى,3
إلا من بعد ما جاءهم,3
أنى يكون لي غلام,3
ولقد فتنا,3
أم حسب,3
قالوا آمنا برب,3
ألم تر إلى الذين أوتوا نصيبا من الكتاب,3
تر إلى الذين أوتوا نصيبا من الكتاب,3
ألم تر إلى الذين أوتوا نصيبا من,3
ألم تر إلى الذين أوتوا نصيبا,3
تر إلى الذين أوتوا نصيبا من,3
في الأرض أم,3
في صدور,3
الله المصير,3
وإلى الله المصير,3
في الدنيا والآخرة وما لهم,3
به قبل أن,3
قال فرعون,3
الذين أوتوا نصيبا من الكتاب,3
إلى الذين أوتوا نصيبا من,3
الذين أوتوا نصيبا,3
إلى الذين أوتوا,3
أوتوا نصيبا من,3
إلى الذين أوتوا نصيبا,3
تر إلى الذين أوتوا,3
نصيبا من الكتاب,3
الذين أوتوا نصيبا من,3
أوتوا نصيبا,3
ألم تر إلى الذين أوتوا,3
تر إلى الذين أوتوا نصيبا,3
أوتوا نصيبا من الكتاب,3
آمنا برب,3
وهم معرضون,3
شيء إلا,3
في شيء,3
أن آذن,3
آذن لكم,3
والآخرة وما,3
حسب الذين,3
والآخرة وما لهم,3
الدنيا والآخرة وما,3
ما عملت,3
فبشرهم بعذاب أليم,3
قبل أن آذن,3
لكم ذنوبكم,3
فبشرهم بعذاب,3
كل نفس ما عملت,3
نفس ما عملت,3
في الدنيا والآخرة وما,3
الدنيا والآخرة وما لهم,3
أولياء من دون المؤمنين,3
الكافرين أولياء من دون المؤمنين,3
الكافرين أولياء من دون,3
الكافرين أولياء من,3
الكافرين أولياء,3
تلقف ما,3
ووصينا الإنسان بوالديه,3
ويعلم ما في,3
أم حسب الذين,3
الذي كانوا يعملون,3
ووصينا الإنسان,3
الإنسان بوالديه,3
أيديكم وأرجلكم من,3
وأرجلكم من خلاف,3
تغني عنهم أموالهم ولا أولادهم من الله,3
لن تغني عنهم أموالهم ولا أولادهم من,3
عنهم أموالهم ولا أولادهم من الله شيئا,3
لن تغني عنهم أموالهم ولا أولادهم من الله,3
لن تغني عنهم أموالهم ولا أولادهم من الله شيئا,3
تغني عنهم أموالهم ولا أولادهم من الله شيئا,3
أموالهم ولا أولادهم من الله شيئا,3
عنهم أموالهم ولا أولادهم من الله,3
أموالهم ولا أولادهم من الله,3
عنهم أموالهم ولا أولادهم من,3
ولا أولادهم من الله شيئا,3
لن تغني عنهم أموالهم ولا أولادهم,3
تغني عنهم أموالهم ولا أولادهم من,3
كفروا لن,3
الذين كفروا لن,3
وكذلك أنزلناه,3
وجعلنا لهم,3
فلما كشفنا,3
أنا نذير مبين,3
يضل من,3
أنا نذير,3
كشفنا عنهم,3
عليهم القول,3
وإذ قالت,3
الله يبسط الرزق لمن يشاء ويقدر,3
واذكر ربك,3
فانتقمنا منهم,3
بآياتنا وكانوا,3
تغني عنهم أموالهم ولا أولادهم,3
لن تغني عنهم أموالهم ولا,3
ليقولن الله قل,3
هو العزيز الحكيم,3
الذين كانوا,3
هو الذي أنزل,3
نزل من,3
أم الكتاب,3
كيف يشاء,3
في الأرحام,3
عزيز ذو,3
جنات عدن يدخلونها,3
ذو انتقام,3
عزيز ذو انتقام,3
قال إنكم,3
لن تغني,3
تغني عنهم,3
تغني عنهم أموالهم ولا,3
لن تغني عنهم أموالهم,3
عنهم أموالهم ولا أولادهم,3
أموالهم ولا أولادهم من,3
أولادهم من الله شيئا,3
ولا أولادهم من الله,3
أولادهم من الله,3
ولا أولادهم من,3
أولادهم من,3
عنهم أموالهم,3
لن تغني عنهم,3
تغني عنهم أموالهم,3
عنهم أموالهم ولا,3
وما يجحد بآياتنا إلا,3
يجحد بآياتنا إلا,3
والله عنده,3
لكم آية,3
عسى ربكم أن,3
ربهم جنات,3
عند ربهم جنات,3
التي وعد المتقون,3
ولا أشرك,3
إما أن,3
إن في ذلك لعبرة,3
في ذلك لعبرة,3
يشاء إن,3
قوما مجرمين,3
الأحزاب من,3
بصير بالعباد,3
من ذلكم,3
أفلا تبصرون,3
والذين كفروا بآيات,3
أيديكم وأرجلكم من خلاف,3
السماء وما,3
في الحياة الدنيا ولعذاب الآخرة,3
تكلم الناس,3
إنا إلى ربنا,3
إن الله لذو فضل على الناس ولكن,3
للذين اتقوا,3
وعد المتقون,3
ربكم أن,3
عسى ربكم,3
الذين يقولون,3
ذلك لعبرة,3
جهنم وبئس المهاد,3
يضل من يشاء ويهدي,3
فرعون والذين,3
كدأب آل فرعون,3
آل فرعون والذين,3
كدأب آل فرعون والذين,3
فرعون والذين من,3
كدأب آل,3
يضل من يشاء,3
بآياتنا إلا,3
وما يجحد بآياتنا,3
يجحد بآياتنا,3
وما يجحد,3
فأخذهم الله,3
الحمد في,3
أمرت أن أعبد,3
فاستكبروا وكانوا قوما,3
وحسن مآب,3
فاستكبروا وكانوا,3
قل للذين,3
وبئس المهاد,3
كدأب آل فرعون والذين من قبلهم,3
الله السماوات,3
فرعون والذين من قبلهم,3
آل فرعون والذين من,3
الله السماوات والأرض,3
كدأب آل فرعون والذين من,3
آل فرعون والذين من قبلهم,3
الكتاب آمنوا,3
إلا ابتغاء,3
ربك لذو,3
تتلى عليه,3
بآياتنا فهم,3
أنتم مسلمون,3
عاقبة المفسدين,3
عليه آياتنا,3
تتلى عليه آياتنا,3
تابوا من بعد ذلك وأصلحوا,3
وإذ أخذ,3
وإلى مدين,3
خلت من قبلهم,3
ثم جعل,3
إلا لمن,3
إلا نذير مبين,3
تابوا من بعد ذلك,3
يؤمن بآياتنا,3
فاصبر إن وعد الله حق,3
فاصبر إن وعد الله,3
فيومئذ لا,3
من بعد ذلك وأصلحوا,3
من دون الله ولكن,3
دون الله ولكن,3
مدين أخاهم,3
الكذب وهم,3
عليهم مطرا,3
إن الذين آمنوا وعملوا الصالحات لهم,3
ذلك لآيات لقوم يعقلون,3
منهم والله,3
قليلا منهم,3
إلا قليلا منهم,3
في ذلك لآيات لقوم يعقلون,3
وما لنا,3
والأرض ليقولن,3
سألتهم من خلق السماوات والأرض ليقولن,3
من خلق السماوات والأرض ليقولن,3
خلق السماوات والأرض ليقولن,3
السماوات والأرض ليقولن,3
إن في ذلك لآيات لقوم يعقلون,3
الله ميثاق,3
لفي خلق جديد,3
فبأي حديث,3
أن يأتيكم,3
وما خلق,3
لفي خلق,3
في أعناقهم,3
عسى أن يكون,3
من يشاء والله واسع,3
من يشاء والله واسع عليم,3
في العلم,3
الكذب وهم يعلمون,3
أخاهم شعيبا,3
من ذنوبكم,3
آيات الله نتلوها عليك بالحق,3
الناس أشياءهم ولا,3
تلك آيات الله نتلوها عليك,3
الله نتلوها عليك بالحق,3
الكتاب والحكم,3
تبخسوا الناس أشياءهم,3
ولا تبخسوا الناس,3
والحكم والنبوة,3
ذو فضل,3
الله نتلوها,3
آيات الله نتلوها عليك,3
ولا تبخسوا الناس أشياءهم,3
عليك بالحق,3
ولا تبخسوا الناس أشياءهم ولا,3
الله نتلوها عليك,3
آيات الله نتلوها,3
تلك آيات الله,3
يحب المتقين,3
نتلوها عليك,3
تلك آيات الله نتلوها,3
تبخسوا الناس أشياءهم ولا,3
نتلوها عليك بالحق,3
الله يحب المتقين,3
أشياءهم ولا,3
الكتاب والحكم والنبوة,3
ولو شئنا,3
على إبراهيم,3
واتبع هواه,3
كفروا لولا,3
تلك آيات الله نتلوها عليك بالحق,3
بعد ذلك وأصلحوا,3
مدين أخاهم شعيبا,3
فاصبر إن وعد,3
إلا الذين تابوا من,3
يهد الله فهو,3
وإلى مدين أخاهم,3
الذين كفروا لولا,3
ويقول الذين كفروا,3
ولا تبخسوا,3
يديه ومن,3
تبخسوا الناس,3
الناس أشياءهم,3
ذلك وأصلحوا,3
وإلى مدين أخاهم شعيبا,3
لكم من ذنوبكم,3
تابوا من بعد,3
الذين تابوا من,3
وهو في,3
ولئن سألتهم من خلق السماوات والأرض ليقولن,3
وأمطرنا عليهم مطرا,3
نفعا ولا ضرا,3
وسخر الشمس والقمر كل يجري لأجل مسمى,3
بعضهم ببعض,3
ولا ضرا,3
الليل وسخر الشمس والقمر,3
فأولئك هم الفاسقون,3
أنا إلا,3
أنا إلا نذير,3
الشمس والقمر كل يجري لأجل مسمى,3
فإن الله غني,3
كل يجري لأجل مسمى,3
والقمر كل يجري لأجل,3
دعوا الله,3
الشمس والقمر كل يجري لأجل,3
والقمر كل يجري لأجل مسمى,3
الله هو الغني,3
وسخر الشمس والقمر كل يجري لأجل,3
بعد ذلك فأولئك,3
بعد ذلك فأولئك هم,3
كيف كان عاقبة المفسدين,3
الليل وسخر الشمس والقمر كل,3
قل سيروا في الأرض فانظروا كيف,3
سيروا في الأرض فانظروا كيف,3
كان عاقبة المفسدين,3
سيروا في الأرض فانظروا,3
قل سيروا في الأرض فانظروا,3
عن العالمين,3
الليل وسخر الشمس,3
الليل وسخر الشمس والقمر كل يجري,3
ومن كفر فإن,3
هم في شك,3
كفر فإن,3
بل هم في شك,3
الله هو الغني الحميد,3
أرسلت به,3
الليل وسخر,3
أن تنزل,3
يحكم الله,3
وأهله إلا,3
علمها عند,3
وهم يخلقون,3
موسى إذ,3
لا تسمع,3
دين الله,3
شيئا وهم يخلقون,3
أخذ الله ميثاق,3
وجعل فيها,3
فتعالى الله,3
كانت من الغابرين,3
قال أولو,3
به أولئك,3
إسرائيل على,3
وأهله إلا امرأته,3
شيئا وهم,3
من الغابرين,3
يأتيهم من رسول إلا كانوا به,2
وما كان لرسول أن,2
رسلنا لوطا,2
الرزق لمن يشاء ويقدر إنه,2
رسول إلا كانوا به يستهزئون,2
يبسط الرزق لمن يشاء ويقدر إنه,2
من رسول إلا كانوا به يستهزئون,2
المؤمنين الذين يعملون الصالحات,2
له جهنم,2
ثم جعلنا,2
من رسول إلا كانوا به,2
من كل شيطان,2
أجلها وما,2
الذين يعملون الصالحات أن,2
يأتي بآية إلا,2
بآية إلا بإذن,2
أهل البيت,2
يا ويلتى,2
تجعل مع,2
تجعل مع الله,2
منهم خيفة قالوا,2
خيفة قالوا,2
تسبق من أمة,2
الدنيا لعنة ويوم,2
لعنة ويوم القيامة,2
أن لهم أجرا,2
منهم خيفة,2
ذا القربى,2
يأتيهم من رسول إلا,2
من رسول إلا كانوا,2
رسول إلا كانوا به,2
ربكم أعلم بما,2
خيفة قالوا لا,2
ما تسبق من,2
لرسول أن يأتي بآية,2
منهم خيفة قالوا لا تخف,2
وأتبعوا في هذه,2
كان لرسول أن يأتي,2
قوم هود,2
تجعل مع الله إلها,2
خيفة قالوا لا تخف,2
تجعل مع الله إلها آخر,2
يأتيهم من رسول إلا كانوا,2
وما يستأخرون,2
كان لرسول أن يأتي بآية,2
منهم خيفة قالوا لا,2
ويبشر المؤمنين الذين يعملون,2
يشاء ويقدر إنه,2
أردنا أن,2
فلا تك,2
أنتم إلا بشر,2
جاء أمر ربك,2
وجعلنا الليل,2
ويبشر المؤمنين الذين يعملون الصالحات,2
يشأ يذهبكم ويأت بخلق,2
فتحنا عليهم بابا,2
ورزقناهم من الطيبات وفضلناهم على,2
الصالحات أن لهم أجرا,2
وكم أهلكنا من,2
وما كان لرسول,2
على كثير,2
السماء بروجا,2
الذين يعملون الصالحات أن لهم,2
